ds,yhat,yhat_lower,yhat_upper
2025-12-01,1313.1784878242634,1247.51956343305,1378.8374122154767
2026-01-01,1342.7164289185496,1275.580607472622,1409.8522503644772
2026-02-01,1373.6399763819174,1304.9579775628215,1442.3219752010134
2026-03-01,1468.4746210550925,1395.0508900023378,1541.8983521078471
2026-04-01,1371.7251814208266,1303.1389223497852,1440.311440491868
2026-05-01,1473.9658734415511,1400.2675797694735,1547.6641671136288
2026-06-01,1318.1333907467008,1252.2267212093657,1384.040060284036
2026-07-01,1324.9014205877536,1258.656349558366,1391.1464916171412
2026-08-01,1318.7942798012734,1252.8545658112098,1384.733993791337
2026-09-01,1185.3490642239847,1126.0816110127853,1244.616517435184
2026-10-01,1421.124314109691,1350.0680984042065,1492.1805298151758
2026-11-01,1328.2707184699036,1261.8571825464085,1394.6842543933988
