ds,yhat,yhat_lower,yhat_upper
2025-07-01,2226.9419180622513,2115.5948221591384,2338.289013965364
2025-08-01,2720.2461539296037,2584.2338462331236,2856.2584616260838
2025-09-01,2929.737956059576,2783.251058256597,3076.224853862555
2025-10-01,3674.6082603552304,3490.8778473374687,3858.338673372992
2025-11-01,3020.9399134762007,2869.8929178023905,3171.986909150011
2025-12-01,3218.3166060520402,3057.4007757494383,3379.2324363546422
2026-01-01,3916.4406270160907,3720.618595665286,4112.262658366895
2026-02-01,2815.0990772949594,2674.3441234302113,2955.8540311597076
2026-03-01,3150.5057248232697,2992.980438582106,3308.031011064433
2026-04-01,3431.4649384495915,3259.8916915271116,3603.0381853720714
2026-05-01,3206.0460997692676,3045.743794780804,3366.3484047577313
2026-06-01,3511.080785910132,3335.526746614625,3686.6348252056387
